id	type	class	reason
net/netstat.TcpExt_RcvPruned	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_OfoPruned	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_OutOfWindowIcmps	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_LockDroppedIcmps	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_ArpFilter	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TW	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TWRecycled	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TWKilled	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_PAWSActive	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_PAWSEstab	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_DelayedACKs	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_DelayedACKLocked	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_DelayedACKLost	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_ListenOverflows	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_ListenDrops	Integer	existing_individual	metric article exists
net/netstat.TcpExt_TCPHPHits	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPPureAcks	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPHPAcks	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRenoRecovery	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackRecovery	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSACKReneging	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSACKReorder	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRenoReorder	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPTSReorder	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFullUndo	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPPartialUndo	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKUndo	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPLossUndo	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPLostRetransmit	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRenoFailures	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackFailures	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPLossFailures	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastRetrans	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSlowStartRetrans	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPTimeouts	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPLossProbes	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPLossProbeRecovery	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRenoRecoveryFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackRecoveryFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRcvCollapsed	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPBacklogCoalesce	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKOldSent	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKOfoSent	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKRecv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKOfoRecv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortOnData	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortOnClose	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortOnMemory	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortOnTimeout	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortOnLinger	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAbortFailed	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMemoryPressures	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMemoryPressuresChrono	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSACKDiscard	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKIgnoredOld	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKIgnoredNoUndo	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSpuriousRTOs	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMD5NotFound	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMD5Unexpected	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMD5Failure	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackShifted	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackMerged	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSackShiftFallback	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPBacklogDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_PFMemallocDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMinTTLDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDeferAcceptDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_IPReversePathFilter	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPTimeWaitOverflow	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPReqQFullDoCookies	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPReqQFullDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRetransFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRcvCoalesce	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPOFOQueue	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPOFODrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPOFOMerge	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPChallengeACK	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSYNChallenge	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenActive	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenActiveFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenPassive	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenPassiveFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenListenOverflow	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenCookieReqd	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenBlackhole	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSpuriousRtxHostQueues	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_BusyPollRxPackets	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAutoCorking	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFromZeroWindowAdv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPToZeroWindowAdv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPWantZeroWindowAdv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPSynRetrans	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPOrigDataSent	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPHystartTrainDetect	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPHystartTrainCwnd	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPHystartDelayDetect	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPHystartDelayCwnd	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedSynRecv	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedPAWS	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedSeq	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedFinWait2	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedTimeWait	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPACKSkippedChallenge	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPWinProbe	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPKeepAlive	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMTUPFail	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMTUPSuccess	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDelivered	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDeliveredCE	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPAckCompressed	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPZeroWindowDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPRcvQDrop	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPWqueueTooBig	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPFastOpenPassiveAltKey	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TcpTimeoutRehash	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TcpDuplicateDataRehash	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKRecvSegs	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPDSACKIgnoredDubious	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMigrateReqSuccess	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPMigrateReqFailure	Integer	candidate_individual	scalar numeric metric
net/netstat.TcpExt_TCPPLBRehash	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InNoRoutes	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InTruncatedPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InMcastPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_OutMcastPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InBcastPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_OutBcastPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_OutOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InMcastOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_OutMcastOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InBcastOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_OutBcastOctets	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InCsumErrors	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InNoECTPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InECT1Pkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InECT0Pkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_InCEPkts	Integer	candidate_individual	scalar numeric metric
net/netstat.IpExt_ReasmOverlaps	Integer	candidate_individual	scalar numeric metric
net/route.route_count	Integer	candidate_individual	scalar numeric metric
net/route.routes	Table	hard_table	table structure varies; best as source/group guide
net/snmp.Ip_Forwarding	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_DefaultTTL	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InReceives	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InHdrErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InAddrErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_ForwDatagrams	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InUnknownProtos	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InDiscards	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_InDelivers	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_OutRequests	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_OutDiscards	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_OutNoRoutes	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_ReasmTimeout	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_ReasmReqds	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_ReasmOKs	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_ReasmFails	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_FragOKs	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_FragFails	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_FragCreates	Integer	candidate_individual	scalar numeric metric
net/snmp.Ip_OutTransmits	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InMsgs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InCsumErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InDestUnreachs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InTimeExcds	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InParmProbs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InSrcQuenchs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InRedirects	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InEchos	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InEchoReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InTimestamps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InTimestampReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InAddrMasks	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_InAddrMaskReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutMsgs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutRateLimitGlobal	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutRateLimitHost	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutDestUnreachs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutTimeExcds	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutParmProbs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutSrcQuenchs	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutRedirects	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutEchos	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutEchoReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutTimestamps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutTimestampReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutAddrMasks	Integer	candidate_individual	scalar numeric metric
net/snmp.Icmp_OutAddrMaskReps	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_RtoAlgorithm	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_RtoMin	Integer	candidate_group_suffix	net/snmp.Tcp_Rto (min/max/count family)
net/snmp.Tcp_RtoMax	Integer	candidate_group_suffix	net/snmp.Tcp_Rto (min/max/count family)
net/snmp.Tcp_MaxConn	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_ActiveOpens	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_PassiveOpens	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_AttemptFails	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_EstabResets	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_CurrEstab	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_InSegs	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_OutSegs	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_RetransSegs	Integer	existing_individual	metric article exists
net/snmp.Tcp_InErrs	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_OutRsts	Integer	candidate_individual	scalar numeric metric
net/snmp.Tcp_InCsumErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_InDatagrams	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_NoPorts	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_InErrors	Integer	existing_individual	metric article exists
net/snmp.Udp_OutDatagrams	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_RcvbufErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_SndbufErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_InCsumErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_IgnoredMulti	Integer	candidate_individual	scalar numeric metric
net/snmp.Udp_MemErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_InDatagrams	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_NoPorts	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_InErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_OutDatagrams	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_RcvbufErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_SndbufErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_InCsumErrors	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_IgnoredMulti	Integer	candidate_individual	scalar numeric metric
net/snmp.UdpLite_MemErrors	Integer	candidate_individual	scalar numeric metric
net/sockstat.sockets_used	Integer	candidate_individual	scalar numeric metric
net/sockstat.TCP_inuse	Integer	candidate_individual	scalar numeric metric
net/sockstat.TCP_orphan	Integer	candidate_individual	scalar numeric metric
net/sockstat.TCP_tw	Integer	candidate_individual	scalar numeric metric
net/sockstat.TCP_alloc	Integer	candidate_individual	scalar numeric metric
net/sockstat.TCP_mem	Integer	candidate_individual	scalar numeric metric
net/sockstat.UDP_inuse	Integer	candidate_individual	scalar numeric metric
net/sockstat.UDP_mem	Integer	candidate_individual	scalar numeric metric
net/sockstat.UDPLITE_inuse	Integer	candidate_individual	scalar numeric metric
net/sockstat.RAW_inuse	Integer	candidate_individual	scalar numeric metric
net/sockstat.FRAG_inuse	Integer	candidate_individual	scalar numeric metric
net/sockstat.FRAG_memory	Integer	candidate_individual	scalar numeric metric
net/tcp.connection_count	Integer	candidate_individual	scalar numeric metric
net/tcp.connections	Table	hard_table	table structure varies; best as source/group guide
net/udp.socket_count	Integer	candidate_individual	scalar numeric metric
net/udp.sockets	Table	hard_table	table structure varies; best as source/group guide
net/unix.socket_count	Integer	candidate_individual	scalar numeric metric
net/unix.sockets	Table	hard_table	table structure varies; best as source/group guide
net/wireless.interface_count	Integer	candidate_individual	scalar numeric metric
net/wireless.interfaces	Table	hard_table	table structure varies; best as source/group guide
partitions.count	Integer	candidate_individual	scalar numeric metric
partitions.partitions	Table	hard_table	table structure varies; best as source/group guide
pressure.cpu_some_avg10	Float	existing_individual	metric article exists
pressure.cpu_some_avg60	Float	candidate_individual	scalar numeric metric
pressure.cpu_some_avg300	Float	candidate_individual	scalar numeric metric
pressure.cpu_some_total	Integer	candidate_individual	scalar numeric metric
